Megaptera novaeangliae,"Whale, humpback [Arabian Sea DPS]",Endangered
Megaptera novaeangliae,"Whale, humpback [Cape Verde Islands/Northwest Africa DPS]",Endangered
Megaptera novaeangliae,"Whale, humpback [Central America DPS]",Endangered
Megaptera novaeangliae,"Whale, humpback [Mexico DPS]",Threatened
Megaptera novaeangliae,"Whale, humpback [Western North Pacific DPS]",Endangered
Orcinus orca,"Whale, killer [Southern Resident DPS]",Endangered
Eubalaena glacialis,"Whale, North Atlantic right",Endangered
Eubalaena japonica,"Whale, North Pacific right",Endangered
Balaenoptera borealis,"Whale, sei",Endangered
Eubalaena australis,"Whale, Southern right",Endangered
Physeter catodon (=macrocephalus),"Whale, sperm",Endangered
Canis lupus,"Wolf, gray",Endangered
Canis lupus,"Wolf, gray [MN DPS]",Threatened
Chrysocyon brachyurus,"Wolf, maned",Endangered
Canis lupus baileyi,"Wolf, Mexican",Endangered
Canis lupus baileyi,"Wolf, Mexican",XN
Canis rufus,"Wolf, red",Endangered
Canis rufus,"Wolf, red",XN
Lasiorhinus krefftii(formerly L. barnardi and L. gillespiei ),"Wombat, Queensland hairy-nosed (incl. Barnard's)",Endangered
Neotoma floridana smalli,"Woodrat, Key Largo",Endangered
Neotoma fuscipes riparia,"Woodrat, riparian (San Joaquin Valley)",Endangered
Bos mutus (=grunniens m.),"Yak, wild",Endangered
Equus grevyi,"Zebra, Grevy's",Threatened
Equus zebra hartmannae,"Zebra, Hartmann's mountain",Threatened
Equus zebra zebra,"Zebra, mountain",Endangered
Scientific Name,Common Name,Status
Leptoptilos dubius,"Adjutant, greater",Endangered
Loxops caeruleirostris,Akekee (honeycreeper),Endangered
Loxops coccineus,"Akepa, Hawaii",Endangered
Loxops ochraceus,"Akepa, Maui",Endangered
Hemignathus stejnegeri,"Akialoa, Kauai",Endangered
Hemignathus wilsoni,Akiapolaau,Endangered
Oreomystis bairdi,Akikiki (honeycreeper),Endangered
Diomedea amsterdamensis,"Albatross, Amsterdam",Endangered
Phoebastria (=Diomedea) albatrus,"Albatross, short-tailed",Endangered
Alethe choloensis,"Alethe, Thyolo",Endangered
Grallaria milleri,"Antpitta, brown-banded",Endangered
Formicivora erythronotos,"Antwren, black-hooded",Endangered
Agelaius xanthomus,"Blackbird, yellow-shouldered",Endangered
Colinus virginianus ridgwayi,"Bobwhite, masked (quail)",Endangered
Papasula (=Sula) abbotti,"Booby, Abbott's",Endangered
Dasyornis longirostris (=brachypterus l.),"Bristlebird, western",Endangered
Dasyornis broadbenti littoralis,"Bristlebird, western rufous",Endangered
Hypsipetes borbonicus olivaceus,"Bulbul, Mauritius olivaceous",Endangered
